OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
19004,PF-1XL,PF,PUBLIC FACILITY,0.0040447099262024,6.05554833863255e-07
19005,PF-1XL-RIO,PF,PUBLIC FACILITY,0.0029655082193518,2.42697986061367e-07
19006,PF-1XL,PF,PUBLIC FACILITY,0.00038382550138,6.526456887375161e-09
19007,PF-1XL,PF,PUBLIC FACILITY,0.0028538468578123,3.68940761160828e-07
19008,PF-1XL,PF,PUBLIC FACILITY,0.0116507096089302,6.57248562749104e-06
19009,PF-1XL,PF,PUBLIC FACILITY,0.0085504184724717,1.70164795952854e-06
19010,PF-1XL,PF,PUBLIC FACILITY,0.0082404456417904,1.5288181336921e-06
19011,PF-1XL,PF,PUBLIC FACILITY,0.0023403181326436,3.41044827537274e-07
19012,PF-1XL,PF,PUBLIC FACILITY,0.0098555174983695,2.1780086468823e-06
19013,PF-1XL,PF,PUBLIC FACILITY,0.0034650095688274,4.88995722150553e-07
19014,PF-1XL,PF,PUBLIC FACILITY,0.0256500764757344,1.4097821159297e-06
19015,PF-1XL,PF,PUBLIC FACILITY,0.0065806103833449,2.28520052178174e-06
19016,PF-1XL,PF,PUBLIC FACILITY,0.0040796918254583,2.13656378279789e-07
19017,PF-1XL,PF,PUBLIC FACILITY,0.0046784108599769,2.4686331888366e-07
19018,PF-1XL,PF,PUBLIC FACILITY,0.0060590785056956,1.25817588257543e-06
19019,PF-1XL,PF,PUBLIC FACILITY,0.007272597881161,8.52207202990242e-07
19020,PF-1XL,PF,PUBLIC FACILITY,0.0073854624269049,1.09961411214858e-06
19021,PF-1XL,PF,PUBLIC FACILITY,0.003543619710995,5.18390085442646e-07
19022,PF-1XL,PF,PUBLIC FACILITY,0.0151179713945834,2.10034049266249e-06
19023,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0075774146787911,1.30940509965781e-06
19024,PF-1XL,PF,PUBLIC FACILITY,0.0086423715158274,1.67502023273183e-06
19025,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0040521020608336,6.53535286997974e-07
19026,PF-1XL,PF,PUBLIC FACILITY,0.0111273532079075,1.40214304553052e-06
19027,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0022497268094496,2.93695833555117e-07
19028,PF-1XL,PF,PUBLIC FACILITY,0.0078564875478087,1.49275104367856e-06
19029,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0021841435942228,2.82649888481529e-07
19030,PF-1XL,PF,PUBLIC FACILITY,0.0036374982110573,5.67634519094809e-07
19031,PF-1XL,PF,PUBLIC FACILITY,0.0039925179586301,4.43758161513957e-07
19032,PF-1XL,PF,PUBLIC FACILITY,0.0144939545842038,1.22702369895309e-06
19033,PF-1XL,PF,PUBLIC FACILITY,0.0018502022228657,1.63634423120594e-07
19034,PF-1XL,PF,PUBLIC FACILITY,0.003573488566125,5.45952219474084e-07
19035,PF-1XL,PF,PUBLIC FACILITY,0.0253096559841031,3.63209854674969e-06
19036,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0060309795080618,1.18643473741382e-06
19037,PF-1XL,PF,PUBLIC FACILITY,0.0230415108117141,3.68285396219059e-06
19038,PF-1XL,PF,PUBLIC FACILITY,0.0210051739046119,1.14832092055683e-06
19039,PF-1XL,PF,PUBLIC FACILITY,0.0032725215101069,4.9602410701251e-07
19040,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.006800782714086,1.37389763561131e-06
19041,PF-1XL,PF,PUBLIC FACILITY,0.0023118763570391,2.1823170676273e-07
19042,PF-1XL,PF,PUBLIC FACILITY,0.0512308911473506,1.68713682063531e-05
19043,PF-1XL,PF,PUBLIC FACILITY,0.0017067932805151,1.7724521367091e-07
19044,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.015734041554766,5.48561804273312e-06
19045,PF-1XL,PF,PUBLIC FACILITY,0.0163993483452381,1.55407725912922e-06
19046,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0057948748470831,1.16447304257423e-06
19047,PF-1XL,PF,PUBLIC FACILITY,0.008151055968365,1.01004636604285e-06
19048,PF-1XL,PF,PUBLIC FACILITY,0.0013654637717757,4.04977750017009e-08
19049,PF-1XL,PF,PUBLIC FACILITY,0.0036951653375026,3.27184715831245e-07
19050,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0647883877854261,2.08910450710325e-05
19051,PF-1XL,PF,PUBLIC FACILITY,0.0504841662599743,8.15477810097268e-06
19052,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0018612741169782,1.63219334959468e-07
19053,PF-1XL,PF,PUBLIC FACILITY,0.0036929762227485,4.21190971901699e-07
19054,PF-1XL,PF,PUBLIC FACILITY,0.0077115003402432,1.54933759075259e-06
19055,PF-1XL,PF,PUBLIC FACILITY,0.0062337484209352,2.50566517420196e-06
19056,PF-1XL,PF,PUBLIC FACILITY,0.0168084809578095,2.65171348171174e-06
19057,PF-1XL,PF,PUBLIC FACILITY,0.0141841311161217,2.08027643140049e-06
19058,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0027822895990456,4.00242438603738e-07
19059,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0142122345378395,6.3116328802481e-06
19060,PF-1XL,PF,PUBLIC FACILITY,0.0042495746243363,6.70884609756765e-07
19061,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0029743940480487,3.91258549441998e-07
19062,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0110444864343095,3.41397703520617e-06
19063,PF-1XL,PF,PUBLIC FACILITY,0.0072967265502329,1.45146440283061e-06
19064,PF-1XL,PF,PUBLIC FACILITY,0.0014833704193552,1.33032976543791e-07
19065,PF-1XL,PF,PUBLIC FACILITY,0.0016006966719871,1.56869361439685e-07
19066,PF-1XL,PF,PUBLIC FACILITY,0.0029860787213043,4.74559976609425e-07
19067,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0031167605863461,4.02083962681058e-07
19068,PF-1XL,PF,PUBLIC FACILITY,0.0020282326668195,2.0524162475807e-07
19069,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0144726962743245,6.55497789042945e-06
19070,PF-1XL,PF,PUBLIC FACILITY,0.0156554523378034,2.4969068971163e-06
19071,PF-1XL,PF,PUBLIC FACILITY,0.0084820469043664,6.47309079421807e-07
19072,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0015883824292496,1.28730753701138e-07
19073,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0001743047879314,1.3813598168740302e-09
19074,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0011850865460817,6.38469681925743e-08
19075,PF-1XL,PF,PUBLIC FACILITY,0.0084259257032459,6.31112009528777e-07
19076,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0021030235625322,2.34915777583739e-07
19077,PF-1XL,PF,PUBLIC FACILITY,0.0021414974385806,2.3236031585365e-07
19078,PF-1XL,PF,PUBLIC FACILITY,0.0082667835320968,2.47870670191743e-06
19079,PF-1XL,PF,PUBLIC FACILITY,0.0145584852338428,2.28668989809784e-06
19080,PF-1XL,PF,PUBLIC FACILITY,0.0177933387471125,2.35010387725666e-06
19081,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0037347264744733,6.31478070499201e-07
19082,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0009172252060666,4.01927126318857e-08
19083,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0085281757915696,1.84003417552691e-06
19084,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0011288346045788,2.82960157445072e-08
19085,PF-1XL,PF,PUBLIC FACILITY,0.0074454622987143,3.38323146173094e-06
19086,RA-1,RA,AGRICULTURE,0.00339449898122,6.19948482756276e-07
19087,PF-1XL,PF,PUBLIC FACILITY,0.0074852088985206,3.42498585902888e-06
19088,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0350954017531668,5.15505957045456e-06
