OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
192,1.42656117,733,4580 N Figueroa Street,Ramona Hall Community Center,N,1.42656117
193,28.96806395,258,5001 Rodeo Road,Rancho Cienega Sports Complex,C,28.96806395
194,140.13672555,660,10460 Pico Blvd,Rancho Park Golf Course,R,140.13672555
195,1.27656078,341,510 Leland Avenue,Rena Park,N,1.27656078
196,29.67840228,517,18411 Victory Blvd,Reseda Park,C,29.67840228
197,1.0300388,259,2803 Reynier Avenue,Reynier Park,N,1.0300388
198,0.32141074,380,2700 S Budlong Avenue,Elinor and Don Richardson Family Park,N,0.32141074
199,1.67678104,281,4900 Beverly Blvd.,Robert L. Burns Park,N,1.67678104
200,1.23557131,661,1641 Pruess Road,Robertson Recreation Center,N,1.23557131
201,14.41415551,557,12467 Osborne St,Roger W. Jessup Park,C,14.41415551
202,55.56478002,293,2650 N Vermont Ave,Roosevelt Golf Course,R,55.56478002
203,1.48650564,876,456 S Mathews Street,Roosevelt High School Pool,N,1.48650564
204,44.34813641,518,24116 De Quincy Ct,Roscoe-Valley Circle Park,C,44.34813641
205,2.26431718,1004,4530 Mercury Ave.,Rose Hill Recreation Center,N,2.26431718
206,10.5481857,190,840 W. 149th St.,Rosecrans Recreation Center,C,10.5481857
207,11.3420269,600,1501 E 41 St,Ross Snyder Recreation Center,C,11.3420269
208,5.93070647,191,20200 Runnymede St.,Runnymede Park,N,5.93070647
209,136.76443353,284,2000 N Fuller Ave,Runyon Canyon Park,R,136.76443353
210,44.69131991,105,SW of Sullivan Fire Rd; no other address or HSENO available,Rustic Canyon Park,C,44.69131991
211,8.94995329,107,601 Latimer Rd,Rustic Canyon Recreation Center,N,8.94995329
212,8.57621581,382,8701 St. Andrews Pl.,Saint Andrews Recreation Center,N,8.57621581
213,0.89801271,735,20 S St. James Park,Saint James Park,N,0.89801271
214,3.50665301,329,700 S Beacon Street,San Pedro Plaza Park,N,3.50665301
215,31.45134196,100,17500 Mulholland Dr,San Vicente Mountain Park,C,31.45134196
216,337.84219219,102,1100 Palisades Dr,Santa Ynez Canyon Park,R,337.84219219
217,0.22382598,244,6567 Selma Ave,Selma Park,N,0.22382598
218,3.46636941,261,3250 San Marino Street,Seoul International Park,N,3.46636941
219,4.93963121,163,17550 Victory Blvd,Sepulveda Basin Dog Park,N,4.93963121
220,10.58718448,192,17017 Burbank Blvd,Sepulveda Recreation Center,C,10.58718448
221,36.54078851,519,4800 Serrania Ave,Serrania Avenue Park,C,36.54078851
222,12.03447881,520,22633 Vanowen St,Shadow Ranch Park,C,12.03447881
223,5.45388787,301,3191 W 4th St,Shatto Recreation Center,N,5.45388787
