OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
139,0.17198669,240,13,5523 Lexington Ave,M,Lexington Avenue Pocket Park,N,13,Name: Lexington Avenue Pocket Park\nLocation: 5523 Lexington Ave,0.17198669
140,24.51476829,160,05,5101 Libbit Ave,V,Libbit Park,C,5,Name: Libbit Park\nLocation: 5101 Libbit Ave,24.51476829
141,2.83140556,724,01,1253 Lilac Ter.,M,Lilac Terrace Park,N,13,Name: Lilac Terrace Park\nLocation: 1253 Lilac Ter.,2.83140556
142,92.56578803,762,12,19585 Rinaldi St,V,Limekiln Canyon Park,R,12,Name: Limekiln Canyon Park\nLocation: 19585 Rinaldi St,92.56578803
143,2.87720446,725,01,2303 Workman Street,M,Lincoln Heights Recreation Center,N,1,Name: Lincoln Heights Recreation Center\nLocation: 2303 Workman Street,2.87720446
144,42.81087247,205,01,3501 Valley Blvd,M,Lincoln Park,C,1,Name: Lincoln Park\nLocation: 3501 Valley Blvd,42.81087247
145,0.22882855,377,08,10420 S. Vermont Ave.,P,Little Green Acres Park,N,8,Name: Little Green Acres Park\nLocation: 10420 S. Vermont Ave.,0.22882855
146,1.14379995,356,02,10110 Commerce Ave,V,Little Landers Park,N,7,Name: Little Landers Park\nLocation: 10110 Commerce Ave,1.14379995
147,2.41578742,378,08,2717 Halldale Avenue,P,Loren Miller Recreation Center,N,8,Name: Loren Miller Recreation Center\nLocation: 2717 Halldale Avenue,2.41578742
148,11.83101237,291,04,3207 Los Feliz Blvd,M,Los Feliz Golf Course,C,13,Name: Los Feliz Golf Course\nLocation: 3207 Los Feliz Blvd,11.83101237
149,6.48060678,763,12,7140 Louise Ave,V,Louise Park,N,6,Name: Louise Park\nLocation: 7140 Louise Ave,6.48060678
150,1.75015365,726,01,200 E Avenue 43,M,Charles F. Lummis Home,N,1,Name: Charles F. Lummis Home\nLocation: 200 E Avenue 43,1.75015365
151,2.2300543,503,03,23936 Highlander Ave,V,Mae Boyar Recreation Center,N,12,Name: Mae Boyar Recreation Center\nLocation: 23936 Highlander Ave,2.2300543
152,4.81528091,144,11,4901 Marionwood Dr,W,Mar Vista Gardens Recreation Center,N,11,Name: Mar Vista Gardens Recreation Center\nLocation: 4901 Marionwood Dr,4.81528091
153,18.50628241,122,11,11430 Woodbine Ave,W,Mar Vista Recreation Center,C,11,Name: Mar Vista Recreation Center\nLocation: 11430 Woodbine Ave,18.50628241
154,0.28774922,804,06,15262 Marson St,V,Marson Park,N,6,Name: Marson Park\nLocation: 15262 Marson St,0.28774922
155,13.51531786,311,15,1920 Cumbre Drive,P,Martin J. Bogdanovich Recreation Center,C,15,Name: Martin J. Bogdanovich Recreation Center\nLocation: 1920 Cumbre Drive,13.51531786
156,0.17134987,253,10,Intersection of Mascot Street & Pickford Street,M,Mascot Park,N,10,Name: Mascot Park\nLocation: Intersection of Mascot Street & Pickford Street,0.17134987
157,17.06931083,764,12,10500 Mason Ave,V,Mason Park,C,12,Name: Mason Park\nLocation: 10500 Mason Ave,17.06931083
158,2.66282518,559,07,9540 Van Nuys Blvd.,V,Mid-Valley Senior Citizen Center (Site),N,6,Name: Mid-Valley Senior Citizen Center (Site)\nLocation: 9540 Van Nuys Blvd.,2.66282518
159,3.21706107,342,02,12061 Moorpark St,V,Moorpark Park,N,2,Name: Moorpark Park\nLocation: 12061 Moorpark St,3.21706107
160,3.40604552,379,08,830 W 70th Street,P,Mount Carmel Recreation Center,N,8,Name: Mount Carmel Recreation Center\nLocation: 830 W 70th Street,3.40604552
161,29.86877092,727,01,2230 W 6th Street,M,MacArthur Park,C,1,Name: MacArthur Park\nLocation: 2230 W 6th Street,29.86877092
162,9.4989901,185,08,4800 S. La Brea Ave.,W,Norman O. Houston Park,N,8,Name: Norman O. Houston Park\nLocation: 4800 S. La Brea Ave.,9.4989901
163,7.97765843,334,15,22400 Halldale Avenue,P,Normandale Recreation Center,N,15,Name: Normandale Recreation Center\nLocation: 22400 Halldale Avenue,7.97765843
164,3.27153751,730,01,1550 S Normandie Avenue,M,Normandie Recreation Center,N,1,Name: Normandie Recreation Center\nLocation: 1550 S Normandie Avenue,3.27153751
165,5.36237217,267,04,3900 Chevy Chase Dr,G,North Atwater Park,N,13,Name: North Atwater Park\nLocation: 3900 Chevy Chase Dr,5.36237217
166,3.89463018,561,07,8756 Parthenia Pl,V,North Hills Community Park,N,6,Name: North Hills Community Park\nLocation: 8756 Parthenia Pl,3.89463018
