id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",Los Angeles County (East Central),"Glendora, Claremont, San Dimas & La Verne Cities PUMA; California","Glendora, Claremont, San Dimas & La Verne Cities ",49804,2863,84,98,49720,2851,46626,2624,4597,1059,44049,2740,5247,1166,8789,1840,
7950000US0603712,"Los Angeles County (East Central)--Pomona City PUMA, California",Los Angeles County (East Central),"Pomona City PUMA, California",Pomona City ,34254,1843,0,216,34254,1843,33181,1767,4334,979,27379,1486,4617,985,5341,1063,
7950000US0603713,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",Los Angeles County (East Central),"Covina & Walnut Cities PUMA, California",Covina & Walnut Cities ,27359,1903,83,98,27276,1897,25511,1721,2563,803,23993,1683,3654,945,4497,1230,
7950000US0603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",Los Angeles County,"Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California","Diamond Bar, La Habra Heights (East) Cities & Rowland Heights ",32835,1952,53,88,32782,1950,27240,1712,2802,641,28844,1861,2823,773,2310,947,
7950000US0603715,"Los Angeles County (East Central)--West Covina City PUMA, California",Los Angeles County (East Central),"West Covina City PUMA, California",West Covina City ,28551,1591,0,216,28551,1591,27357,1678,3132,749,24065,1640,5471,1029,3439,943,
7950000US0603716,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",Los Angeles County (East Central),"La Puente & Industry Cities PUMA, California",La Puente & Industry Cities ,24481,1495,0,216,24481,1495,23789,1499,3129,760,20112,1429,4011,1096,2463,678,
7950000US0603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",Los Angeles County (East Central),"Arcadia, San Gabriel & Temple City Cities PUMA; California","Arcadia, San Gabriel & Temple City Cities ",57661,2630,37,61,57624,2618,54213,2662,4457,1059,44082,2285,12854,1675,5547,1265,
7950000US0603718,"Los Angeles County (Central)--Pasadena City PUMA, California",Los Angeles County (Central),"Pasadena City PUMA, California",Pasadena City ,50480,2737,38,67,50442,2731,46791,2624,5140,1179,44013,2616,4090,931,5744,1164,
7950000US0603719,"Los Angeles County (Central)--Glendale City PUMA, California",Los Angeles County (Central),"Glendale City PUMA, California",Glendale City ,63143,2280,91,108,63052,2254,59983,2226,8462,1585,53672,2422,3179,731,10808,1821,
7950000US0603720,"Los Angeles County (Central)--Burbank City PUMA, California",Los Angeles County (Central),"Burbank City PUMA, California",Burbank City ,44086,2596,227,285,43859,2576,37182,2775,3044,960,39256,2463,4459,1326,5690,1828,
